Time [s],Value,Parity Error,Framing Error
0.905287541666667,U,,
0.905374208333333,n,,
0.905460875000000,c,,
0.905547583333333,o,,
0.905634250000000,m,,
0.905720916666667,p,,
0.905807625000000,r,,
0.905894291666667,e,,
0.905980958333333,s,,
0.906067666666667,s,,
0.906154333333333,i,,
0.906241000000000,n,,
0.906327708333333,g,,
0.906414375000000,' ',,
0.906501041666667,L,,
0.906587750000000,i,,
0.906674416666667,n,,
0.906761083333333,u,,
0.906847791666667,x,,
0.906934458333333,.,,
0.907021125000000,.,,
0.907107833333333,.,,
2.637572208333333,' ',,
2.637658875000000,d,,
2.637745541666667,o,,
2.637832250000000,n,,
2.637918916666667,e,,
2.638005583333333,COMMA,,
2.638092291666667,' ',,
2.638178958333333,b,,
2.638265625000000,o,,
2.638352333333333,o,,
2.638439000000000,t,,
2.638525708333333,i,,
2.638612375000000,n,,
2.638699041666666,g,,
2.638785750000000,' ',,
2.638872416666667,t,,
2.638959083333333,h,,
2.639045791666667,e,,
2.639132458333334,' ',,
2.639219125000000,k,,
2.639305833333333,e,,
2.639392500000000,r,,
2.639479166666667,n,,
2.639565875000000,e,,
2.639652541666667,l,,
2.639739208333333,.,,
2.639825916666667,\r,,
2.639912583333333,\n,,
3.410616250000000,[,,
3.410702916666667,' ',,
3.410789625000000,' ',,
3.410876291666667,' ',,
3.410962958333333,' ',,
3.411049666666667,0,,
3.411136333333333,.,,
3.411223000000000,0,,
3.411309708333333,0,,
3.411396375000000,0,,
3.411483083333333,0,,
3.411569750000000,0,,
3.411656416666667,0,,
3.411743125000000,],,
3.411829791666666,' ',,
3.411916458333333,B,,
3.412003166666667,o,,
3.412089833333333,o,,
3.412176500000000,t,,
3.412263208333334,i,,
3.412349875000000,n,,
3.412436541666667,g,,
3.412523250000000,' ',,
3.412609916666667,L,,
3.412696583333333,i,,
3.412783291666666,n,,
3.412869958333333,u,,
3.412956625000000,x,,
3.413043333333333,' ',,
3.413130000000000,o,,
3.413216666666667,n,,
3.413303375000000,' ',,
3.413390041666667,p,,
3.413476708333333,h,,
3.413563416666667,y,,
3.413650083333333,s,,
3.413736750000000,i,,
3.413823458333333,c,,
3.413910125000000,a,,
3.413996791666666,l,,
3.414083500000000,' ',,
3.414170166666667,C,,
3.414256833333333,P,,
3.414343541666667,U,,
3.414430208333334,' ',,
3.414516875000000,0,,
3.414603583333333,x,,
3.414690250000000,f,,
3.414776916666667,0,,
3.414863625000000,0,,
3.414950291666667,\r,,
3.415036958333333,\n,,
3.415151666666667,[,,
3.415238333333333,' ',,
3.415325041666667,' ',,
3.415411708333334,' ',,
3.415498375000000,' ',,
3.415585083333333,0,,
3.415671750000000,.,,
3.415758416666667,0,,
3.415845125000000,0,,
3.415931791666666,0,,
3.416018458333333,0,,
3.416105166666667,0,,
3.416191833333333,0,,
3.416278500000000,],,
3.416365208333333,' ',,
3.416451875000000,I,,
3.416538541666667,n,,
3.416625250000000,i,,
3.416711916666667,t,,
3.416798583333333,i,,
3.416885291666667,a,,
3.416971958333333,l,,
3.417058625000000,i,,
3.417145333333333,z,,
3.417232000000000,i,,
3.417318666666667,n,,
3.417405375000000,g,,
3.417492041666667,' ',,
3.417578708333334,c,,
3.417665416666666,g,,
3.417752083333333,r,,
3.417838750000000,o,,
3.417925458333333,u,,
3.418012125000000,p,,
3.418098791666667,' ',,
3.418185500000000,s,,
3.418272166666667,u,,
3.418358833333333,b,,
